Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      2.28     0.00   912784     0.00     0.00  std::tr1::__detail::_Hash_code_base<aalta_formula, std::pair<aalta_formula const, int>, std::_Select1st<std::pair<aalta_formula const, int> >, std::equal_to<aalta_formula>, aalta_formula::af_hash, std::tr1::__detail::_Mod_range_hashing, std::tr1::__detail::_Default_ranged_hash, false>::_M_compare(aalta_formula const&, unsigned long, std::tr1::__detail::_Hash_node<std::pair<aalta_formula const, int>, false>*) const
  0.00      2.28     0.00   911593     0.00     0.00  std::iterator_traits<unsigned long const*>::iterator_category std::__iterator_category<unsigned long const*>(unsigned long const* const&)
  0.00      2.28     0.00   908421     0.00     0.00  aalta_formula::af_hash::operator()(aalta_formula const&) const
  0.00      2.28     0.00   900923     0.00     0.00  Minisat::vec<int>::growTo(int, int const&)
  0.00      2.28     0.00   900923     0.00     0.00  Minisat::Heap<Minisat::Solver::VarOrderLt>::insert(int)
  0.00      2.28     0.00   888813     0.00     0.00  std::_Select1st<std::pair<int const, aalta_formula*> >::operator()(std::pair<int const, aalta_formula*>&) const
  0.00      2.28     0.00   888813     0.00     0.00  std::tr1::__detail::_Hash_code_base<int, std::pair<int const, aalta_formula*>, std::_Select1st<std::pair<int const, aalta_formula*> >, std::equal_to<int>, std::tr1::hash<int>, std::tr1::__detail::_Mod_range_hashing, std::tr1::__detail::_Default_ranged_hash, false>::_M_compare(int const&, unsigned long, std::tr1::__detail::_Hash_node<std::pair<int const, aalta_formula*>, false>*) const
  0.00      2.28     0.00   865386     0.00     0.00  std::tr1::__detail::_Hash_code_base<int, std::pair<int const, aalta_formula*>, std::_Select1st<std::pair<int const, aalta_formula*> >, std::equal_to<int>, std::tr1::hash<int>, std::tr1::__detail::_Mod_range_hashing, std::tr1::__detail::_Default_ranged_hash, false>::_M_bucket_index(int const&, unsigned long, unsigned long) const
  0.00      2.28     0.00   859920     0.00     0.00  std::tr1::_Hashtable<int, std::pair<int const, aalta_formula*>, std::allocator<std::pair<int const, aalta_formula*> >, std::_Select1st<std::pair<int const, aalta_formula*> >, std::equal_to<int>, std::tr1::hash<int>, std::tr1::__detail::_Mod_range_hashing, std::tr1::__detail::_Default_ranged_hash, std::tr1::__detail::_Prime_rehash_policy, false, false, true>::_M_find_node(std::tr1::__detail::_Hash_node<std::pair<int const, aalta_formula*>, false>*, int const&, unsigned long) const
  0.00      2.28     0.00   859920     0.00     0.00  std::tr1::__detail::_Hash_code_base<int, std::pair<int const, aalta_formula*>, std::_Select1st<std::pair<int const, aalta_formula*> >, std::equal_to<int>, std::tr1::hash<int>, std::tr1::__detail::_Mod_range_hashing, std::tr1::__detail::_Default_ranged_hash, false>::_M_hash_code(int const&) const
  0.00      2.28     0.00   846942     0.00     0.00  Minisat::vec<Minisat::Lit>::shrink(int)
  0.00      2.28     0.00   824315     0.00     0.00  Minisat::vec<Minisat::Lit>::capacity(int)
  0.00      2.28     0.00   820965     0.00     0.00  std::tr1::__detail::_Hash_code_base<aalta_formula, std::pair<aalta_formula const, int>, std::_Select1st<std::pair<aalta_formula const, int> >, std::equal_to<aalta_formula>, aalta_formula::af_hash, std::tr1::__detail::_Mod_range_hashing, std::tr1::__detail::_Default_ranged_hash, false>::_M_bucket_index(aalta_formula const&, unsigned long, unsigned long) const
